algo,avg_length,avg_reward,ent_coef,gamma,learning_rate,model_path,n_steps,run_id,std_reward
A2C,10.133333206176758,1.1550114154815674,0.01,0.98,0.0005,C:\peertech_rl_summatives\models\pg\a2c_sweep\a2c_sweep_run01_20251121_024531,5,1,13.46606731414795
A2C,10.733333587646484,9.93151569366455,0.01,0.99,0.0005,C:\peertech_rl_summatives\models\pg\a2c_sweep\a2c_sweep_run02_20251121_025203,20,2,20.630046844482422
A2C,11.666666984558105,4.740661144256592,0.0,0.99,0.0003,C:\peertech_rl_summatives\models\pg\a2c_sweep\a2c_sweep_run03_20251121_025655,20,3,11.996906280517578
A2C,12.066666603088379,6.4621171951293945,0.02,0.99,0.0005,C:\peertech_rl_summatives\models\pg\a2c_sweep\a2c_sweep_run04_20251121_030142,20,4,13.547921180725098
A2C,9.733333587646484,-3.7948997020721436,0.01,0.99,0.0003,C:\peertech_rl_summatives\models\pg\a2c_sweep\a2c_sweep_run05_20251121_030747,20,5,10.631250381469727
A2C,10.066666603088379,-3.2378756999969482,0.0,0.98,0.0005,C:\peertech_rl_summatives\models\pg\a2c_sweep\a2c_sweep_run06_20251121_031010,20,6,15.02692699432373
A2C,11.866666793823242,11.137897491455078,0.02,0.99,0.0007,C:\peertech_rl_summatives\models\pg\a2c_sweep\a2c_sweep_run07_20251121_031244,10,7,12.182646751403809
A2C,11.133333206176758,7.265844821929932,0.02,0.98,0.0007,C:\peertech_rl_summatives\models\pg\a2c_sweep\a2c_sweep_run08_20251121_031455,20,8,15.6730375289917
A2C,11.466666221618652,8.465160369873047,0.01,0.99,0.0007,C:\peertech_rl_summatives\models\pg\a2c_sweep\a2c_sweep_run09_20251121_031831,5,9,16.444486618041992
A2C,12.266666412353516,10.928702354431152,0.02,0.98,0.0005,C:\peertech_rl_summatives\models\pg\a2c_sweep\a2c_sweep_run10_20251121_032105,20,10,13.148035049438477
