algo,avg_length,avg_reward,clip_range,ent_coef,gamma,learning_rate,model_path,n_steps,run_id,std_reward
PPO,11.666666984558105,8.402682304382324,0.2,0.01,0.99,0.0003,C:\peertech_rl_summatives\models\pg\ppo_sweep\ppo_sweep_run01_20251121_032349,512,1,17.81044578552246
PPO,11.933333396911621,8.616156578063965,0.2,0.0,0.99,0.0003,C:\peertech_rl_summatives\models\pg\ppo_sweep\ppo_sweep_run02_20251121_032614,2048,2,19.452098846435547
PPO,12.466666221618652,7.561261177062988,0.3,0.0,0.99,5e-05,C:\peertech_rl_summatives\models\pg\ppo_sweep\ppo_sweep_run03_20251121_032900,512,3,14.993834495544434
PPO,10.199999809265137,2.7471704483032227,0.3,0.0,0.98,0.0001,C:\peertech_rl_summatives\models\pg\ppo_sweep\ppo_sweep_run04_20251121_033131,1024,4,15.523459434509277
PPO,11.866666793823242,9.007580757141113,0.3,0.01,0.99,0.0003,C:\peertech_rl_summatives\models\pg\ppo_sweep\ppo_sweep_run05_20251121_033404,1024,5,12.90488052368164
PPO,9.266666412353516,0.9799073338508606,0.2,0.01,0.99,5e-05,C:\peertech_rl_summatives\models\pg\ppo_sweep\ppo_sweep_run06_20251121_033650,512,6,15.411211013793945
PPO,10.933333396911621,-0.16110944747924805,0.3,0.0,0.99,5e-05,C:\peertech_rl_summatives\models\pg\ppo_sweep\ppo_sweep_run07_20251121_033914,2048,7,13.7238130569458
PPO,11.133333206176758,1.275684118270874,0.2,0.0,0.99,5e-05,C:\peertech_rl_summatives\models\pg\ppo_sweep\ppo_sweep_run08_20251121_034201,512,8,11.767779350280762
PPO,10.666666984558105,5.955068111419678,0.2,0.01,0.98,0.0003,C:\peertech_rl_summatives\models\pg\ppo_sweep\ppo_sweep_run09_20251121_034436,1024,9,14.364558219909668
PPO,10.199999809265137,0.6842299699783325,0.2,0.0,0.98,0.0001,C:\peertech_rl_summatives\models\pg\ppo_sweep\ppo_sweep_run10_20251121_034720,512,10,16.090091705322266
