algo,avg_length,avg_reward,batch_size,buffer_size,exploration_final_eps,exploration_fraction,gamma,learning_rate,model_path,run_id,std_reward
DQN,12.666666984558105,9.438462257385254,32,100000,0.05,0.2,0.99,0.001,C:\peertech_rl_summatives\models\pg\dqn_sweep\dqn_sweep_run01_20251121_013329,1,14.68315315246582
DQN,12.733333587646484,13.409542083740234,64,50000,0.02,0.1,0.98,0.001,C:\peertech_rl_summatives\models\pg\dqn_sweep\dqn_sweep_run02_20251121_014119,2,11.77038860321045
DQN,11.733333587646484,2.8337783813476562,32,100000,0.05,0.1,0.98,0.0005,C:\peertech_rl_summatives\models\pg\dqn_sweep\dqn_sweep_run03_20251121_014843,3,17.53658103942871
DQN,12.399999618530273,9.031923294067383,32,50000,0.02,0.1,0.98,0.001,C:\peertech_rl_summatives\models\pg\dqn_sweep\dqn_sweep_run04_20251121_015549,4,13.858428001403809
DQN,12.399999618530273,15.745862007141113,64,100000,0.05,0.1,0.98,0.0005,C:\peertech_rl_summatives\models\pg\dqn_sweep\dqn_sweep_run05_20251121_020346,5,18.450050354003906
DQN,12.466666221618652,11.030452728271484,32,100000,0.02,0.1,0.99,0.0005,C:\peertech_rl_summatives\models\pg\dqn_sweep\dqn_sweep_run06_20251121_021119,6,12.207428932189941
DQN,11.0,2.5648269653320312,64,50000,0.02,0.1,0.98,0.0003,C:\peertech_rl_summatives\models\pg\dqn_sweep\dqn_sweep_run07_20251121_021907,7,15.876742362976074
DQN,12.266666412353516,7.252959251403809,32,100000,0.02,0.2,0.99,0.0003,C:\peertech_rl_summatives\models\pg\dqn_sweep\dqn_sweep_run08_20251121_022446,8,6.894557952880859
DQN,11.666666984558105,7.0354228019714355,32,100000,0.05,0.2,0.98,0.0005,C:\peertech_rl_summatives\models\pg\dqn_sweep\dqn_sweep_run09_20251121_023020,9,16.570669174194336
DQN,12.399999618530273,17.069034576416016,64,100000,0.02,0.2,0.99,0.001,C:\peertech_rl_summatives\models\pg\dqn_sweep\dqn_sweep_run10_20251121_023547,10,12.382309913635254
